Tweet_count,Username,Text,Created At,Retweets,Likes
11,🏴󠁧󠁢󠁥󠁮󠁧󠁿BIGGER🏴󠁧󠁢󠁥󠁮󠁧󠁿,Asked grok'What diseases and conditions have increased since 2020 - give me the top 10 and give me the percent that those diseases/conditions have gone up by'  safe and effective?   DO NOT TAKE THE #COVID CLOTSHOT!  #arrestfauci #NOPARDONS https://t.co/rvSpjmFIlV,Sun Dec 29 14:06:45 +0000 2024,4,13
12,jules serkin,i was diagnosed with #Longcovid ( when extensive blood tests proved i hadn’t then had #covid ) it was from 1 #AstraZeneca PV46671. a deadly batch-  DR. said “Yes we’re seeing it in the vaccinated”,Mon Dec 30 14:31:16 +0000 2024,99,284
13,andrew🌹🍉,"Long Covid: Teachers, healthcare workers most vulnerable occupations, report finds #covid #LongCovid #teacher #teachers #students #schools  https://t.co/SF9GJoEPNO",Tue Dec 31 01:36:56 +0000 2024,13,22
14,Covid Castaways,"Let’s break down some of the #COVID/#LongCOVID minimizers in the tourney &amp; find out why they’re here, starting with the:  8 seed  Monica “Def Not The Mahatma” Gandhi  - Anti-mask - Anti-school closure - Anti-viral persistence - Pro-minimizing  🧵🧵🧵 https://t.co/xPmDN0pCo6",Mon Dec 30 01:36:21 +0000 2024,4,21
15,"Dr. Benjamin Mateus, MD",An important and honest discussion with @arijitchakrav on the #COVID pandemic 5-years later! Share! @MeetJess @Antonio_Caramia @DrEricDing @yaneerbaryam @EpiEllie @elisaperego78 @michael_hoerger @PeterDaszak @greg_travis @PhilippMarkolin @angie_rasmussen  https://t.co/xDBI3xehVE,Tue Dec 31 10:35:57 +0000 2024,60,117
16,AmericasNurse,And don’t forget your 87th #covid #booster #CovidIsNotOver they not done making #money off you yet https://t.co/ujQEgEL0Sq,Sun Dec 29 17:37:03 +0000 2024,0,4
17,Tonya Lampley,Sars-Cov-2 is like a rogue AI mutating as it goes with the final destination being the destruction of humanity.  I hope the DO NOT COMPLY people will at least consider wearing a mask. With a 50% kill rate Bird Flu will be icing on the death and disability cake.  #H5N1 #Covid,Sun Dec 29 17:39:25 +0000 2024,6,17
18,Becky A Robertson,"Long Covid: Teachers, healthcare workers most vulnerable occupations, report finds #covid #longcovid #teachers #students #health #schools #safeschools #CleanAir  https://t.co/8pm4Q3cN9P",Tue Dec 31 03:19:13 +0000 2024,4,17
19,Cygnus X-321,"By playing roulette repeatedly, we will eventually hit that “outlier event.”  #Covid 👉 https://t.co/OkNNAtV6qO https://t.co/O8PuDFh1M4",Tue Dec 31 18:20:51 +0000 2024,6,19
20,ImBackJack,THIS is how I used to post #covid information on Fakebook... just to get past the cia censors and Cuckerberg's purple haired trannyfact-checkers.. https://t.co/0PKv5thHzt,Sat Dec 28 20:49:23 +0000 2024,0,14
